geologicalcontext:1:Term (http://terms.tdwg.org/wiki/dwc:GeologicalContext)	GeologicalContext		Geological information, such as stratigraphy, that qualifies a region or place.
geologicalcontext:2:Term (http://terms.tdwg.org/wiki/dwc:geologicalContextID)	geologicalContextID		An identifier for the set of information associated with a GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.
geologicalcontext:3:Term (http://terms.tdwg.org/wiki/dwc:earliestEonOrLowestEonothem)	earliestEonOrLowestEonothem		The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:4:Term (http://terms.tdwg.org/wiki/dwc:latestEonOrHighestEonothem)	latestEonOrHighestEonothem		The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:5:Term (http://terms.tdwg.org/wiki/dwc:earliestEraOrLowestErathem)	earliestEraOrLowestErathem		The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:6:Term (http://terms.tdwg.org/wiki/dwc:latestEraOrHighestErathem)	latestEraOrHighestErathem		The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:7:Term (http://terms.tdwg.org/wiki/dwc:earliestPeriodOrLowestSystem)	earliestPeriodOrLowestSystem		The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:8:Term (http://terms.tdwg.org/wiki/dwc:latestPeriodOrHighestSystem)	latestPeriodOrHighestSystem		The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:9:Term (http://terms.tdwg.org/wiki/dwc:earliestEpochOrLowestSeries)	earliestEpochOrLowestSeries		The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:10:Term (http://terms.tdwg.org/wiki/dwc:latestEpochOrHighestSeries)	latestEpochOrHighestSeries		The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:11:Term (http://terms.tdwg.org/wiki/dwc:earliestAgeOrLowestStage)	earliestAgeOrLowestStage		The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:12:Term (http://terms.tdwg.org/wiki/dwc:latestAgeOrHighestStage)	latestAgeOrHighestStage		The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:13:Term (http://terms.tdwg.org/wiki/dwc:lowestBiostratigraphicZone)	lowestBiostratigraphicZone		The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:14:Term (http://terms.tdwg.org/wiki/dwc:highestBiostratigraphicZone)	highestBiostratigraphicZone		The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.
geologicalcontext:15:Term (http://terms.tdwg.org/wiki/dwc:lithostratigraphicTerms)	lithostratigraphicTerms		The combination of all litho-stratigraphic names for the rock from which the cataloged item was collected.
geologicalcontext:16:Term (http://terms.tdwg.org/wiki/dwc:group)	group		The full name of the lithostratigraphic group from which the cataloged item was collected.
geologicalcontext:17:Term (http://terms.tdwg.org/wiki/dwc:formation)	formation		The full name of the lithostratigraphic formation from which the cataloged item was collected.
