occurrence:1:Term	Occurrence		An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.
occurrence:2:Term	occurrenceID	生物出現紀錄識別碼	An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.
occurrence:3:Term	catalogNumber	編目號	An identifier (preferably unique) for the record within the data set or collection.
occurrence:4:Term	recordNumber	野外採集號	An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.
occurrence:5:Term	recordedBy	資料記錄者	A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.
occurrence:6:Term	individualCount	個體數	The number of individuals represented present at the time of the Occurrence.
occurrence:7:Term	organismQuantity	數值	A number or enumeration value for the quantity of organisms.
occurrence:8:Term	organismQuantityType	單位	The type of quantification system used for the quantity of organisms.
occurrence:9:Term	sex	性別	The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.
occurrence:10:Term	lifeStage	生活史階段	The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.
occurrence:11:Term	reproductiveCondition	生殖狀況	The reproductive condition of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.
occurrence:12:Term	behavior	行為	A description of the behavior shown by the subject at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.
occurrence:13:Term	establishmentMeans	拓殖意義	The process by which the biological individual(s) represented in the Occurrence became established at the location. Recommended best practice is to use a controlled vocabulary.
occurrence:14:Term	occurrenceStatus	出現狀態	A statement about the presence or absence of a Taxon at a Location. Recommended best practice is to use a controlled vocabulary.
occurrence:15:Term	preparations	製備過程	A list (concatenated and separated) of preparations and preservation methods for a specimen.
occurrence:16:Term	disposition	標本現況	The current state of a specimen with respect to the collection identified in collectionCode or collectionID. Recommended best practice is to use a controlled vocabulary.
occurrence:17:Term	associatedMedia	相關記載媒體	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.
occurrence:18:Term	associatedReferences	相關文獻	A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.
occurrence:19:Term	associatedSequences	相關遺傳序列	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence.
occurrence:20:Term	associatedTaxa	相關類群	A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.
occurrence:21:Term	otherCatalogNumbers	其他紀錄代號	A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same Occurrence, whether in the current or any other data set or collection.
occurrence:22:Term	occurrenceRemarks	出現記錄概述	Comments or notes about the Occurrence.
occurrence:1:Definition	An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.		
occurrence:2:Definition	An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.	TDWG 定義生物出現紀錄 (occurrence) 為「特定生物於特定時間存在於特定地點」。而為確保資料集中生物出現紀錄的唯一性，需要至少在資料集內部為獨一無二的識別碼，此即 occurrenceID。	
occurrence:3:Definition	An identifier (preferably unique) for the record within the data set or collection.	於資料集或館藏品中紀錄的識別碼（具唯一性者佳）。	
occurrence:4:Definition	An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.	在 TDWG 釋出的 DwC 官方文件中，record 帶有「現地紀錄」或「於現地所做紀錄」的意涵。由此衍生，recordNumber 係指紀錄者在紀錄產生當下配賦給紀錄的編碼。	
occurrence:5:Definition	A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.	記錄出現記錄的人名、團體或組織名單(以標點符號分隔)。本名單之第一順位應是賦予此筆紀錄個人識別碼(紀錄編號(recordNumber)的人名、團體或組織名字。	
occurrence:6:Definition	The number of individuals represented present at the time of the Occurrence.	Occurrence 中被記錄到的生物個體數	
occurrence:7:Definition	A number or enumeration value for the quantity of organisms.		
occurrence:8:Definition	The type of quantification system used for the quantity of organisms.		
occurrence:9:Definition	The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.	生物出現紀錄中呈現的生物個體性別，建議使用控制詞彙。如"雄"、“雌雄同體”、“雌”。	
