identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
event:1		 Data Set	Event		An action that occurs at some location during some time.				A specimen collection process. A machine observation. 		http://terms.tdwg.org/wiki/dwc:Event
event:2			HumanObservation		An output of a human observation process.						http://terms.tdwg.org/wiki/dwc:HumanObservation
event:3			MachineObservation		An output of a machine observation process.						http://terms.tdwg.org/wiki/dwc:MachineObservation
event:4		Event	eventID		An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.						http://terms.tdwg.org/wiki/dwc:eventID
event:5		Event	parentEventID		An identifier for the broader Event that groups this and potentially other Events.		May be a globally unique identifier or an identifier specific to the data set.		"A1" as parentEventID to identify the main Whittaker Plot in nested samples, each with its own eventID (e.g.,  "A1:1",  "A1:2").		http://terms.tdwg.org/wiki/dwc:parentEventID
event:6		Event	fieldNumber	野外採集號	An identifier given to the event in the field. Often serves as a link between field notes and the Event.				"RV Sol 87-03-08".		http://terms.tdwg.org/wiki/dwc:fieldNumber
event:7		Event	eventDate	資料產生日期	The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).				"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC,  "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC,  "1809-02-12" is 12 Feb 1809,  "1906-06" is Jun 1906,  "1971" is just that year,  "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC,  "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.		http://terms.tdwg.org/wiki/dwc:eventDate
event:8		Event	eventTime	事件時間	The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).				"14:07-0600" is 2:07pm in the time zone six hours earlier than UTC,  "08:40:21Z" is 8:40:21am UTC,  "13:00:00Z/15:30:00Z" is the interval between 1pm UTC and 3:30pm UTC.		http://terms.tdwg.org/wiki/dwc:eventTime
event:9		Event	startDayOfYear		The earliest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).				"1" (=1 Jan),  "366" (=31 Dec),  "365" (=30 Dec in a leap year, 31 Dec in a non-leap year).		http://terms.tdwg.org/wiki/dwc:startDayOfYear
event:10		Event	endDayOfYear		The latest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).				"1" (=1 Jan),  "366" (=31 Dec),  "365" (=30 Dec in a leap year, 31 Dec in a non-leap year).		http://terms.tdwg.org/wiki/dwc:endDayOfYear
event:11		Event	year	年	The four-digit year in which the Event occurred, according to the Common Era Calendar.				"2008"		http://terms.tdwg.org/wiki/dwc:year
event:12		Event	month	月	The ordinal month in which the Event occurred.				"1" (=January),  "10" (=October).		http://terms.tdwg.org/wiki/dwc:month
event:13		Event	day	日	The integer day of the month on which the Event occurred.				"9",  "28".		http://terms.tdwg.org/wiki/dwc:day
event:14		Event	verbatimEventDate	字面事件日期(原始)	The verbatim original representation of the date and time information for an Event.				"spring 1910",  "Marzo 2002",  "1999-03-XX",  "17IV1934".		http://terms.tdwg.org/wiki/dwc:verbatimEventDate
event:15		Event	habitat	棲地類型描述	A category or description of the habitat in which the Event occurred.				"oak savanna",  "pre-cordilleran steppe".		http://terms.tdwg.org/wiki/dwc:habitat
event:16		Event	samplingProtocol	採集方法	The name of, reference to, or description of the method or protocol used during an Event.				"UV light trap",  "mist net",  "bottom trawl",  "ad hoc observation",  "point count",  "Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x",  "Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp.",  "http://www.bsc-eoc.org/download/Owl.pdf".		http://terms.tdwg.org/wiki/dwc:samplingProtocol
event:17		Event	samplingEffort		The amount of effort expended during an Event.				"40 trap-nights",  "10 observer-hours; 10 km by foot; 30 km by car".		http://terms.tdwg.org/wiki/dwc:samplingEffort
event:18		Event	sampleSizeValue		A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.		A sampleSizeValue must have a corresponding sampleSizeUnit.		"5" for sampleSizeValue with "metre" for sampleSizeUnit.		http://terms.tdwg.org/wiki/dwc:sampleSizeValue
event:19		Event	sampleSizeUnit		The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.		A sampleSizeUnit must have a corresponding sampleSizeValue, e.g.,  "5" for sampleSizeValue with "metre" for sampleSizeUnit.		"minute",  "hour",  "day",  "metre",  "square metre",  "cubic metre". Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI (e.g., minute, hour, day, litre).		http://terms.tdwg.org/wiki/dwc:sampleSizeUnit
event:20		Event	fieldNotes		One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.				"notes available in Grinnell-Miller Library."		http://terms.tdwg.org/wiki/dwc:fieldNotes
event:21		Event	eventRemarks	事件備註	Comments or notes about the Event.				"after the recent rains the river is nearly at flood stage".		http://terms.tdwg.org/wiki/dwc:eventRemarks
