identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
geologicalcontext:1	 Data Set		GeologicalContext		Geological information, such as stratigraphy, that qualifies a region or place.				A lithostratigraphic layer. 		http://terms.tdwg.org/wiki/dwc:GeologicalContext
geologicalcontext:2		GeologicalContext	geologicalContextID		An identifier for the set of information associated with a GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.						http://terms.tdwg.org/wiki/dwc:geologicalContextID
geologicalcontext:3		GeologicalContext	earliestEonOrLowestEonothem		The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.				"Phanerozoic",  "Proterozoic".		http://terms.tdwg.org/wiki/dwc:earliestEonOrLowestEonothem
geologicalcontext:4		GeologicalContext	latestEonOrHighestEonothem		The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name ("Precambrian") attributable to the stratigraphic horizon from which the cataloged item was collected.				"Phanerozoic",  "Proterozoic".		http://terms.tdwg.org/wiki/dwc:latestEonOrHighestEonothem
geologicalcontext:5		GeologicalContext	earliestEraOrLowestErathem		The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.				"Cenozoic",  "Mesozoic".		http://terms.tdwg.org/wiki/dwc:earliestEraOrLowestErathem
geologicalcontext:6		GeologicalContext	latestEraOrHighestErathem		The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.				"Cenozoic",  "Mesozoic".		http://terms.tdwg.org/wiki/dwc:latestEraOrHighestErathem
geologicalcontext:7		GeologicalContext	earliestPeriodOrLowestSystem		The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.				"Neogene",  "Tertiary",  "Quaternary".		http://terms.tdwg.org/wiki/dwc:earliestPeriodOrLowestSystem
geologicalcontext:8		GeologicalContext	latestPeriodOrHighestSystem		The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.				"Neogene",  "Tertiary",  "Quaternary".		http://terms.tdwg.org/wiki/dwc:latestPeriodOrHighestSystem
geologicalcontext:9		GeologicalContext	earliestEpochOrLowestSeries		The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.				"Holocene",  "Pleistocene",  "Ibexian Series".		http://terms.tdwg.org/wiki/dwc:earliestEpochOrLowestSeries
geologicalcontext:10		GeologicalContext	latestEpochOrHighestSeries		The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.				"Holocene",  "Pleistocene",  "Ibexian Series".		http://terms.tdwg.org/wiki/dwc:latestEpochOrHighestSeries
geologicalcontext:11		GeologicalContext	earliestAgeOrLowestStage		The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.				"Atlantic",  "Boreal",  "Skullrockian".		http://terms.tdwg.org/wiki/dwc:earliestAgeOrLowestStage
geologicalcontext:12		GeologicalContext	latestAgeOrHighestStage		The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.				"Atlantic",  "Boreal",  "Skullrockian".		http://terms.tdwg.org/wiki/dwc:latestAgeOrHighestStage
geologicalcontext:13		GeologicalContext	lowestBiostratigraphicZone		The full name of the lowest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.						http://terms.tdwg.org/wiki/dwc:lowestBiostratigraphicZone
geologicalcontext:14		GeologicalContext	highestBiostratigraphicZone		The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.						http://terms.tdwg.org/wiki/dwc:highestBiostratigraphicZone
geologicalcontext:15		GeologicalContext	lithostratigraphicTerms		The combination of all litho-stratigraphic names for the rock from which the cataloged item was collected.						http://terms.tdwg.org/wiki/dwc:lithostratigraphicTerms
geologicalcontext:16		GeologicalContext	group		The full name of the lithostratigraphic group from which the cataloged item was collected.						http://terms.tdwg.org/wiki/dwc:group
geologicalcontext:17		GeologicalContext	formation		The full name of the lithostratigraphic formation from which the cataloged item was collected.				"Notch Peak Fromation",  "House Limestone",  "Fillmore Formation".		http://terms.tdwg.org/wiki/dwc:formation
geologicalcontext:18		GeologicalContext	member		The full name of the lithostratigraphic member from which the cataloged item was collected.				"Lava Dam Member",  "Hellnmaria Member".		http://terms.tdwg.org/wiki/dwc:member
geologicalcontext:19		GeologicalContext	bed		The full name of the lithostratigraphic bed from which the cataloged item was collected.						http://terms.tdwg.org/wiki/dwc:bed
