identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
location:1		 Data Set	Location		A spatial region or named place.						http://terms.tdwg.org/wiki/dwc:Location
location:2		Location	locationID		An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.						http://terms.tdwg.org/wiki/dwc:locationID
location:3		Location	higherGeographyID		An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"TGN: 1002002" for Prov. Tierra del Fuego, Argentina.		http://terms.tdwg.org/wiki/dwc:higherGeographyID
location:4		Location	higherGeography		A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.		The recommended best practice is to separate the values with a vertical bar (' | '), with terms in order from least specific to most specific.		"North Atlantic Ocean",  "South America | Argentina | Patagonia | Parque Nacional Nahuel Huapi | Neuquén | Los Lagos" with accompanying values "South America" in Continent,  "Argentina" in Country,  "Neuquén" in StateProvince, and "Los Lagos" in County.		http://terms.tdwg.org/wiki/dwc:higherGeography
location:5		Location	continent		The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"Africa",  "Antarctica",  "Asia",  "Europe",  "North America",  "Oceania",  "South America".		http://terms.tdwg.org/wiki/dwc:continent
location:6		Location	waterBody		The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"Indian Ocean",  "Baltic Sea",  "Hudson River".		http://terms.tdwg.org/wiki/dwc:waterBody
location:7		Location	islandGroup		The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"Alexander Archipelago",  "Seychelles".		http://terms.tdwg.org/wiki/dwc:islandGroup
location:8		Location	island		The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"Isla Victoria",  "Vancouver",  "Viti Levu",  "Zanzibar".		http://terms.tdwg.org/wiki/dwc:island
location:9		Location	country	國家	The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.				"Denmark",  "Colombia",  "España".		http://terms.tdwg.org/wiki/dwc:country
location:10		Location	countryCode		The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.				"AR" for Argentina,  "SV" for El Salvador.		http://terms.tdwg.org/wiki/dwc:countryCode
