identifier	dc Terms	Class	Term	中譯	Definition	定義	Comment	註解	Examples	範例	Link
occurrence:1		 Data Set	Occurrence		An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.				A wolf pack on the shore of Kluane Lake in 1988. A virus in a plant leaf in a the New York Botanical Garden at 15:29 on 2014-10-23. A fungus in Central Park in the summer of 1929. 		http://terms.tdwg.org/wiki/dwc:Occurrence
occurrence:2		Occurrence	occurrenceID	生物出現紀錄識別碼	An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.	TDWG 定義生物出現紀錄 (occurrence) 為「特定生物於特定時間存在於特定地點」。而為確保資料集中生物出現紀錄的唯一性，需要至少在資料集內部為獨一無二的識別碼，此即 occurrenceID。	For a specimen in the absence of a bona fide global unique identifier, for example, use the form: "urn:catalog:[institutionCode]:[collectionCode]:[catalogNumber].		"urn:lsid:nhm.ku.edu:Herps:32",  "urn:catalog:FMNH:Mammal:145732".		http://terms.tdwg.org/wiki/dwc:occurrenceID
occurrence:3		Occurrence	catalogNumber	編目號	An identifier (preferably unique) for the record within the data set or collection.	於資料集或館藏品中紀錄的識別碼（具唯一性者佳）。			"2008.1334",  "145732a",  "145732".		http://terms.tdwg.org/wiki/dwc:catalogNumber
occurrence:4		Occurrence	recordNumber	野外採集號	An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.	在 TDWG 釋出的 DwC 官方文件中，record 帶有「現地紀錄」或「於現地所做紀錄」的意涵。由此衍生，recordNumber 係指紀錄者在紀錄產生當下配賦給紀錄的編碼。			OPP 7101		http://terms.tdwg.org/wiki/dwc:recordNumber
occurrence:5		Occurrence	recordedBy	資料記錄者	A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.	記錄出現記錄的人名、團體或組織名單(以標點符號分隔)。本名單之第一順位應是賦予此筆紀錄個人識別碼(紀錄編號(recordNumber)的人名、團體或組織名字。	The recommended best practice is to separate the values with a vertical bar (' | '). The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.		"José E. Crespo",  "Oliver P. Pearson | Anita K. Pearson" where the value in recordNumber "OPP 7101" corresponds to the number for the specimen in the field catalog (collector number) of Oliver P. Pearson.		http://terms.tdwg.org/wiki/dwc:recordedBy
occurrence:6		Occurrence	individualCount	個體數	The number of individuals represented present at the time of the Occurrence.	Occurrence 中被記錄到的生物個體數			"1",  "25".		http://terms.tdwg.org/wiki/dwc:individualCount
occurrence:7		Occurrence	organismQuantity	數值	A number or enumeration value for the quantity of organisms.		An organismQuantity must have a corresponding organismQuantityType, e.g.,  "27" for organismQuantity with "individuals" for organismQuantityType; "12.5" for organismQuantity with "%biomass" for organismQuantityType; "r" for organismQuantity with "BraunBlanquetScale" for organismQuantityType.				http://terms.tdwg.org/wiki/dwc:organismQuantity
occurrence:8		Occurrence	organismQuantityType	單位	The type of quantification system used for the quantity of organisms.		An organismQuantityType must have a corresponding organismQuantity, e.g.,  "27" for organismQuantity with "individuals" for organismQuantityType; "12.5" for organismQuantity with "%biomass" for organismQuantityType; "r" for organismQuantity with "BraunBlanquetScale" for organismQuantityType.				http://terms.tdwg.org/wiki/dwc:organismQuantityType
occurrence:9		Occurrence	sex	性別	The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.	生物出現紀錄中呈現的生物個體性別，建議使用控制詞彙。如"雄"、“雌雄同體”、“雌”。			"female",  "hermaphrodite",  "8 males, 4 females".		http://terms.tdwg.org/wiki/dwc:sex
occurrence:10		Occurrence	lifeStage	生活史階段	The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.	生物個體被記錄時的齡級或生活史階段，建議使用控制詞彙。如:“卵”、“水蜥階段(eft)”、“幼齡(juvenile)”、“成體(adult)”、“2 成體 4 幼齡”			"egg",  "eft",  "juvenile",  "adult",  "2 adults 4 juveniles".		http://terms.tdwg.org/wiki/dwc:lifeStage
